date,amount,category,description
05-01-2024,2500.00,Income,Freelance Project
08-01-2024,150.00,Expense,Groceries
12-01-2024,120.00,Expense,Electric Bill
15-01-2024,500.00,Income,Part-time Job
20-01-2024,200.00,Expense,Phone Plan
25-01-2024,100.00,Expense,Streaming Subscriptions
01-02-2024,3000.00,Income,Salary
03-02-2024,75.00,Expense,Coffee with Friends
05-02-2024,600.00,Expense,Rent
10-02-2024,200.00,Expense,Transportation
15-02-2024,500.00,Income,Freelance Work
18-02-2024,180.00,Expense,Clothing
01-03-2024,3200.00,Income,Salary
04-03-2024,240.00,Expense,Gym Membership
08-03-2024,95.00,Expense,Books
14-03-2024,210.00,Expense,Groceries
20-03-2024,100.00,Expense,Gas
28-03-2024,50.00,Expense,Snacks
01-04-2024,3200.00,Income,Salary
04-04-2024,700.00,Expense,Rent
10-04-2024,300.00,Expense,Family Dinner
15-04-2024,500.00,Income,Online Tutoring
20-04-2024,180.00,Expense,Internet Bill
28-04-2024,250.00,Expense,Appliances
01-05-2024,3300.00,Income,Salary
02-05-2024,90.00,Expense,Cinema
10-05-2024,210.00,Expense,Water Bill
19-06-2025,150.00,Expense,Food
19-06-2025,150.00,Income,Stipend
19-06-2025,200.00,Expense,Food
19-06-2025,100.00,Expense,Coffee
19-06-2025,500.00,Income,Salary
